app_id,pricing_plan_id,feature
3e872a69-8d5b-45cd-a56e-ead2ed3f590a,463ca705-e4a0-4909-9508-428868fc091d,Fulfillment Services Offered: 2
3e872a69-8d5b-45cd-a56e-ead2ed3f590a,463ca705-e4a0-4909-9508-428868fc091d,Blended Rates: 1
3e872a69-8d5b-45cd-a56e-ead2ed3f590a,463ca705-e4a0-4909-9508-428868fc091d,Warehouses Offered: 1
3e872a69-8d5b-45cd-a56e-ead2ed3f590a,463ca705-e4a0-4909-9508-428868fc091d,Unlimited methods
3e872a69-8d5b-45cd-a56e-ead2ed3f590a,463ca705-e4a0-4909-9508-428868fc091d,Carrier Features
3e872a69-8d5b-45cd-a56e-ead2ed3f590a,463ca705-e4a0-4909-9508-428868fc091d,Blending Rules
3e872a69-8d5b-45cd-a56e-ead2ed3f590a,463ca705-e4a0-4909-9508-428868fc091d,Supports upto 25000 SKU
f3602c73-7021-4e41-962e-21a6be071ab5,463ca705-e4a0-4909-9508-428868fc091d,Fulfillment Services Offered: 5
f3602c73-7021-4e41-962e-21a6be071ab5,463ca705-e4a0-4909-9508-428868fc091d,Blended Rates: 2
f3602c73-7021-4e41-962e-21a6be071ab5,463ca705-e4a0-4909-9508-428868fc091d,Warehouses Offered: 1
f3602c73-7021-4e41-962e-21a6be071ab5,463ca705-e4a0-4909-9508-428868fc091d,Unlimited methods
f3602c73-7021-4e41-962e-21a6be071ab5,463ca705-e4a0-4909-9508-428868fc091d,Carrier Features
f3602c73-7021-4e41-962e-21a6be071ab5,463ca705-e4a0-4909-9508-428868fc091d,Blending Rules
f3602c73-7021-4e41-962e-21a6be071ab5,463ca705-e4a0-4909-9508-428868fc091d,Supports upto 50000 SKU
57a6ac18-0cf5-463c-b523-579260c7ec49,463ca705-e4a0-4909-9508-428868fc091d,Fulfillment Services Offered:20
57a6ac18-0cf5-463c-b523-579260c7ec49,463ca705-e4a0-4909-9508-428868fc091d,Blended Rates: 4
57a6ac18-0cf5-463c-b523-579260c7ec49,463ca705-e4a0-4909-9508-428868fc091d,Warehouses Offered: 1
57a6ac18-0cf5-463c-b523-579260c7ec49,463ca705-e4a0-4909-9508-428868fc091d,Unlimited methods
57a6ac18-0cf5-463c-b523-579260c7ec49,463ca705-e4a0-4909-9508-428868fc091d,Carrier Features
57a6ac18-0cf5-463c-b523-579260c7ec49,463ca705-e4a0-4909-9508-428868fc091d,Blending Rules
57a6ac18-0cf5-463c-b523-579260c7ec49,463ca705-e4a0-4909-9508-428868fc091d,Supports upto 100000 SKU
4cabf670-055e-4ffe-9f6f-a0aed67a71cd,55594607-965d-4325-8ad4-ac92ea6a4226,Unlimited affiliates & orders
4cabf670-055e-4ffe-9f6f-a0aed67a71cd,55594607-965d-4325-8ad4-ac92ea6a4226,"Unlimited clicks, traffic, offers & creatives"
4cabf670-055e-4ffe-9f6f-a0aed67a71cd,55594607-965d-4325-8ad4-ac92ea6a4226,All possible commission rules
4cabf670-055e-4ffe-9f6f-a0aed67a71cd,55594607-965d-4325-8ad4-ac92ea6a4226,Easy MLM
4cabf670-055e-4ffe-9f6f-a0aed67a71cd,55594607-965d-4325-8ad4-ac92ea6a4226,Affiliate Discount Codes
4e518b1f-96b6-43f9-aefd-2dd3d5d84e02,23f831fe-5b5f-478f-b4ae-855fcacb7d92,Track your profits real-time
dff944e6-cb30-4b27-b6c7-831b2c5aaf14,55594607-965d-4325-8ad4-ac92ea6a4226,Everything in Standard plan
dff944e6-cb30-4b27-b6c7-831b2c5aaf14,55594607-965d-4325-8ad4-ac92ea6a4226,Affiliate QR codes (very useful for offline promotions)
dff944e6-cb30-4b27-b6c7-831b2c5aaf14,55594607-965d-4325-8ad4-ac92ea6a4226,Automatic Discount Codes
4e518b1f-96b6-43f9-aefd-2dd3d5d84e02,23f831fe-5b5f-478f-b4ae-855fcacb7d92,Connect Facebook & Google Ads
4e518b1f-96b6-43f9-aefd-2dd3d5d84e02,23f831fe-5b5f-478f-b4ae-855fcacb7d92,Add custom costs
4e518b1f-96b6-43f9-aefd-2dd3d5d84e02,23f831fe-5b5f-478f-b4ae-855fcacb7d92,No LTV metrics
dff944e6-cb30-4b27-b6c7-831b2c5aaf14,55594607-965d-4325-8ad4-ac92ea6a4226,Mass messaging
dff944e6-cb30-4b27-b6c7-831b2c5aaf14,55594607-965d-4325-8ad4-ac92ea6a4226,Additional Perks
526e0fb8-b6b0-42e9-85b2-5e711f0d51d4,23f831fe-5b5f-478f-b4ae-855fcacb7d92,Track your profits & KPI’s on a single dashboard
526e0fb8-b6b0-42e9-85b2-5e711f0d51d4,23f831fe-5b5f-478f-b4ae-855fcacb7d92,Lifetime value analysis
526e0fb8-b6b0-42e9-85b2-5e711f0d51d4,23f831fe-5b5f-478f-b4ae-855fcacb7d92,Lifecycle analysis
526e0fb8-b6b0-42e9-85b2-5e711f0d51d4,23f831fe-5b5f-478f-b4ae-855fcacb7d92,Repurchase rate analysis
b3956cd4-4da0-4cab-8b9f-647b8b61c188,72480222-afe8-483e-89c1-79069673939d,Free for first 50 orders
b3956cd4-4da0-4cab-8b9f-647b8b61c188,72480222-afe8-483e-89c1-79069673939d,$.05 per order over 50 orders per month
3bc780df-0fbd-4062-aead-e07cd9efecbd,72480222-afe8-483e-89c1-79069673939d,300 orders included
3bc780df-0fbd-4062-aead-e07cd9efecbd,72480222-afe8-483e-89c1-79069673939d,.033/order for orders over 300 per month
ae44bd67-760d-4862-9f3b-3d9c7427ff52,72480222-afe8-483e-89c1-79069673939d,1000 orders included
ae44bd67-760d-4862-9f3b-3d9c7427ff52,72480222-afe8-483e-89c1-79069673939d,.02/order for orders over 1000 per month
9609ad36-b443-4141-a225-8ad2caabbb7c,72480222-afe8-483e-89c1-79069673939d,3000 order per month
9609ad36-b443-4141-a225-8ad2caabbb7c,72480222-afe8-483e-89c1-79069673939d,.012/order for orders over 3000 per month
bf5baaae-ee42-4a8d-afb4-ff11168b194b,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,20 Orders Per Month
bf5baaae-ee42-4a8d-afb4-ff11168b194b,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Unlimited Rewards & Customers
bf5baaae-ee42-4a8d-afb4-ff11168b194b,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Referral & Loyalty Program
bf5baaae-ee42-4a8d-afb4-ff11168b194b,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Analytics & Reports
bf5baaae-ee42-4a8d-afb4-ff11168b194b,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Transactional Emails
bf5baaae-ee42-4a8d-afb4-ff11168b194b,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Limited Designer
d6148753-37aa-4c63-96da-f2fc968a14ee,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,All the features from Starter
d6148753-37aa-4c63-96da-f2fc968a14ee,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,400 Orders Per Month
